Sample	localityID	Depth	Month	Year	Alopias_vulpinus	Galeorhinus_galeus	Lamna_nasus	Leucoraja_naevus	Mustelus_asterias	Raja_brachyura	Raja_clavata	Raja_microocellata	Raja_montagui	Raja_undulata	Scyliorhinus_canicula	Scyliorhinus_stellaris	Squalus_acanthias
MBA-2017.08.24-E1-01	E1	1	8	2017	0	0	0	0	0	0	0	0	0	0	40	0	0
MBA-2017.08.24-E1-02	E1	2	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.24-E1-02	E1	2	8	2017	0	0	0	0	0	3	0	0	0	0	1	0	0
MBA-2017.08.24-E1-02	E1	2	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.24-L5-01	L5	1	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.24-L5-01	L5	1	8	2017	0	0	0	0	0	6	0	0	0	0	0	0	0
MBA-2017.08.24-L5-01	L5	1	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.24-L5-02	L5	2	8	2017	0	0	0	0	1	0	0	0	0	0	1	0	0
MBA-2017.08.24-L5-02	L5	2	8	2017	0	0	23	0	0	196	23	0	13	0	3	0	0
MBA-2017.08.24-L5-02	L5	2	8	2017	0	0	0	0	2	47909	51	8	668	0	6	1	0
MBA-2017.08.30-L4-01	L4	1	8	2017	0	0	0	0	0	0	0	0	12	0	0	0	0
MBA-2017.08.30-L4-01	L4	1	8	2017	0	0	0	0	0	0	0	0	0	0	22415	0	0
MBA-2017.08.30-L4-01	L4	1	8	2017	0	0	0	0	0	0	0	0	0	0	2	0	0
MBA-2017.08.30-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	2	0	0	0	0
MBA-2017.08.30-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	0	0	49	0	0
MBA-2017.08.30-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.09.26-E1-01	E1	1	9	2017	0	0	0	0	0	3	39093	0	0	0	2363	0	0
MBA-2017.09.26-E1-01	E1	1	9	2017	0	0	0	0	0	204	0	0	348	0	2180	0	1085
MBA-2017.09.26-E1-01	E1	1	9	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.09.26-E1-02	E1	2	9	2017	0	0	0	0	0	14	52620	1	0	0	0	0	0
